title,rating,mpaa
Cliffhanger,6.4,Rated R for violence and language
Cobb,6.5,"Rated R for strong language, and for scenes of nudity and violent behavior"
Code-of-Silence,6.0,
Cold-Mountain,7.2,Rated R for violence and sexuality
Collatera,6.6,Rated PG-13 for thematic elements and brief strong language
Collateral-Damage,5.5,Rated R for violence and some language
Colombiana,6.4,"Rated PG-13 for violence, disturbing images, intense sequences of action, sexuality and brief strong language"
Color-of-Nig,5.1,"Rated R for strong sexuality, violence and language"
Commando,6.7,
Conan-the-Barbarian,5.2,"Rated R for strong bloody violence, some sexuality and nudity"
Confessions-of-a-Dangerous-Mind,7.1,"Rated R for language, sexual content and violence"
Confidence,6.7,"Rated R for language, violence and sexuality/nudity"
Constantine,6.9,Rated R for violence and demonic images
"Cooler,-The",7.0,"Rated R for strong sexuality, violence, language and some drug use (edited for re-rating)"
Coraline,7.7,"Rated PG for thematic elements, scary images, some language and suggestive humor"
Coriolanus,6.2,Rated R for some bloody violence
Cowboys-&-Aliens,6.0,"Rated PG-13 for intense sequences of western and sci-fi action and violence, some partial nudity and a brief crude reference"
Cradle-2-the-Grave,5.8,"Rated R for violence, language and some sexual content"
Crank,7.0,"Rated R for strong violence, pervasive language, sexuality, nudity and drug use"
Cras,7.8,"Rated R for language, sexual content and some violence"
"Crazy,-Stupid,-Love",7.4,"Rated PG-13 for coarse humor, sexual content and language"
Crazylove,6.3,
Creation,6.7,Rated PG-13 for some intense thematic material
Crime-Spree,6.6,"Rated R for language, some violence, sexuality and drug use"
"Croods,-The",7.2,Rated PG for some scary action
"Crouching-Tiger,-Hidden-Dragon",7.9,Rated PG-13 for martial arts violence and some sexuality
Croupier,7.2,
"Crow,-The",7.6,"Rated R for a great amount of strong violence and language, and for drug use and some sexuality"
"Crow-City-of-Angels,-The",4.5,"Rated R for strong violence, drug content, language and sexuality"
Cruel-Intentions,6.9,"Rated R for strong sexual dialogue and sexual situations involving teens, language and drug use"
Crying-Game,7.3,"Rated R for sexuality, strong violence and language"
"Curious-Case-of-Benjamin-Button,-The",7.8,"Rated PG-13 for brief war violence, sexual content, language and smoking"
Custody,7.6,
"Damned-United,-The",7.6,Rated R for language
Dances-with-Wolves,8.0,
Dark-City,7.7,Rated R for violent images and some sexuality
"Dark-Knight-Rises,-The",8.5,"Rated PG-13 for intense sequences of violence and action, some sensuality and language"
Dark-Star,6.5,
Darkman,6.4,
Date-Nig,6.3,"Rated PG-13 for sexual and crude content throughout, language, some violence and a drug reference"
Dave-Barry's-Complete-Guide-to-Guys,4.4,Rated PG-13 for some sexual humor
Dawn-of-the-Dead,7.4,"Rated R for pervasive strong horror violence and gore, language and sexuality (Certificate No. 40662)"
Day-of-the-Dead,7.2,
"Day-the-Clown-Cried,-The",,
"Day-the-Earth-Stood-Still,-The",5.5,Rated PG-13 for some sci-fi disaster images and violence
Days-of-Heaven,8.0,
Dead-Poets-Society,8.0,
Death-at-a-Funera,7.4,Rated R for language and drug content (certificate # 43149)
Death-to-Smoochy,6.4,Rated R for language and sexual references
"Debt,-The",6.9,Rated R for some violence and language
Deception,7.8,Rated R for some sexuality and graphic nudity
Deep-Cover,6.9,"Rated R for violence, language, drug use and sensuality"
Deep-Rising,6.0,Rated R for sci-fi violence and gore
"Deer-Hunter,-The",8.2,
Defiance,7.0,
"Departed,-The",8.5,"Rated R for strong brutal violence, pervasive language, some strong sexual content and drug material"
"Descendants,-The",,
Despicable-Me-2,7.7,Rated PG for rude humor and mild action
Detroit-Rock-City,6.8,"Rated R for strong language, drug use and sex-related content"
Devil's-Advocate,7.5,"Rated R for sexuality, nudity, violence and language"
Devil-in-a-Blue-Dress,6.7,"Rated R for violence, sexuality and language"
Die-Hard-2,7.1,
Die-Hard,8.2,
Diner,7.2,
"Distinguished-Gentleman,-The",5.8,Rated R for language and a scene of sexuality
Disturbia,6.9,"Rated PG-13 on appeal for sequences of terror and violence, and some sensuality (re-rating on appeal)"
Django-Unchained,8.4,"Rated R for strong graphic violence throughout, a vicious fight, language and some nudity"
Do-The-Right-Thing,7.9,
Dog-Day-Afternoon,8.0,
Dogma,7.4,"Rated R for strong language including sex-related dialogue, violence, crude humor and some drug content"
Donnie-Brasco,7.8,"Rated R for some strong graphic violence, pervasive strong language and brief nudity and sexuality"
"Doors,-The",7.2,"Rated R for heavy drug content, and for strong sexuality and language"
Double-Indemnity,8.4,
Drag-Me-to-He,6.6,"Rated PG-13 for sequences of horror violence, terror, disturbing images and language"
Dragonslayer,6.7,
