window_0,window_1,window_2,predicted_cluster,title,delta_happy,gross,year,rating,mpaa,Sci-Fi,Crime,Romance,Animation,Msic,Comedy,War,Horror,nan,Film-Noir,Msical,Reality-TV,Thriller,Western,Mystery,Short,Talk-Show,Drama,Action,History,Family,Adventre,Docmentary,Fantasy,Sport,Biography
-0.0463728047896,0.556898504022,-0.322660492095,3.0,Avatar,1,760505847.0,2009.0,7.9,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
-0.116815904371,1.24466371259,-1.42720563839,0.0,"Avengers,-The-(2012)",1,623279547.0,2012.0,8.1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.6998115719,-0.596582582243,0.00631816370207,2.0,"Avengers,-The",1,623279547.0,2012.0,8.1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.480196518761,1.81722278982,-0.33562947754,0.0,"Back-up-Plan,-The",0,37481242.0,2010.0,5.3,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.312397968583,0.476892582864,0.512300202436,3.0,Backdraf,0,77868585.0,1991.0,6.7,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
-0.575456337734,0.932348352006,-1.50106537292,0.0,Bad-Boys,1,65807024.0,1995.0,6.8,3.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
-0.928838343851,-0.705741445796,-0.00691466804015,3.0,Bad-Lieutenan,1,2000022.0,1992.0,7.1,4.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.0590921876713,-1.72053273686,0.764994838995,1.0,Bad-Santa,1,17664973.0,2016.0,5.5,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.0338997494212,0.488552799452,-0.468878868033,2.0,Bad-Teacher,0,100292856.0,2011.0,5.7,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11435796433,1.25607740783,-0.890360427244,2.0,Bamboozled,0,2185266.0,2000.0,6.5,3.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.0991876055083,-1.28130496696,-0.249499708658,1.0,Barton-Fink,1,6153939.0,1991.0,7.7,3.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.0744765416792,-0.308423094327,0.619629065229,3.0,Basic-Instinc,0,117727224.0,1992.0,6.9,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
0.0289088569167,-1.71300420508,1.35834935347,1.0,Basic,0,26536120.0,2003.0,6.5,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
0.0628035187137,0.709018681474,0.893276593111,3.0,Basquia,0,2961991.0,1996.0,6.9,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
-1.07252243881,-0.0258864813346,-0.0709015187955,3.0,Battle-Los-Angeles,1,83552429.0,2011.0,5.8,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.297870158706,-0.453775069206,0.842013444765,1.0,"Battle-of-Shaker-Heights,-The",1,279282.0,2003.0,6.1,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.639003157905,0.474587872722,0.533988752908,3.0,Bean,1,45298656.0,1997.0,6.4,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
-1.67256699526,1.88361986148,-1.47190130429,0.0,Beasts-of-the-Southern-Wild,0,12784397.0,2012.0,7.3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-0.840326199464,0.164325244583,-0.863151608105,0.0,Beavis-and-Butt-head-Do-America,1,63071133.0,1996.0,6.8,1.0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.530536675837,-1.80731932907,1.54993215095,1.0,Beginners,0,5776314.0,2010.0,7.2,3.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.344492181072,-0.565043119006,-0.504689871604,3.0,Being-John-Malkovic,1,22858926.0,1999.0,7.8,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.0211008328137,-0.94416921362,0.919178479357,1.0,"Believer,-The",1,406035.0,2001.0,7.2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.03025070418,-1.68377671031,0.238877398301,1.0,Beloved,1,22843047.0,1998.0,5.9,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1.01243188123,-1.06600173267,1.87629766695,1.0,Benny-&-Joon,1,23202734.0,1993.0,7.2,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
