title,genre
Escape-From-New-York,"[u'Action', u'Sci-Fi']"
Eternal-Sunshine-of-the-Spotless-Mind,"[u'Drama', u'Fantasy', u'Romance', u'Sci-Fi']"
Even-Cowgirls-Get-the-Blues,"[u'Comedy', u'Drama', u'Romance', u'Western']"
Event-Horizon,"[u'Horror', u'Sci-Fi', u'Thriller']"
Evil-Dead-II-Dead-by-Dawn,
Evil-Dead,[u'Horror']
Excalibur,"[u'Adventure', u'Drama', u'Fantasy', u'Romance']"
eXistenZ,"[u'Action', u'Horror', u'Sci-Fi', u'Thriller']"
Extrac,"[u'Action', u'Thriller']"
"Fabulous-Baker-Boys,-The","[u'Drama', u'Music', u'Romance']"
Face-Off,"[u'Drama', u'Romance', u'Sport']"
Fair-Game,"[u'Biography', u'Drama', u'Thriller']"
"Family-Man,-The","[u'Comedy', u'Drama', u'Fantasy', u'Romance']"
Fantastic-Four,"[u'Action', u'Adventure', u'Sci-Fi']"
Fantastic-Mr-Fox,"[u'Animation', u'Adventure', u'Comedy', u'Crime', u'Family']"
Fargo,"[u'Crime', u'Drama', u'Thriller']"
Fast-Times-at-Ridgemont-Hig,"[u'Comedy', u'Drama']"
Fatal-Instinc,"[u'Comedy', u'Crime', u'Thriller']"
"Fault-in-Our-Stars,-The","[u'Drama', u'Romance']"
Fear-and-Loathing-in-Las-Vegas,"[u'Adventure', u'Comedy', u'Drama']"
Feas,"[u'Action', u'Comedy', u'Horror', u'Thriller']"
Ferris-Bueller's-Day-Off,[u'Comedy']
Field-of-Dreams,"[u'Drama', u'Family', u'Fantasy', u'Sport']"
"Fifth-Element,-The","[u'Action', u'Adventure', u'Sci-Fi']"
Fight-Club,[u'Drama']
"Fighter,-The","[u'Biography', u'Drama', u'Sport']"
Final-Destination-2,"[u'Horror', u'Thriller']"
Final-Destination,"[u'Horror', u'Thriller']"
Finding-Nemo,"[u'Animation', u'Adventure', u'Comedy', u'Family']"
Five-Easy-Pieces,[u'Drama']
Flash-Gordon,"[u'Action', u'Adventure', u'Sci-Fi']"
Fletc,"[u'Action', u'Crime', u'Mystery', u'Romance', u'Thriller']"
Flig,"[u'Adventure', u'Family', u'Sci-Fi']"
"Flintstones,-The","[u'Comedy', u'Family', u'Fantasy']"
Forrest-Gump,"[u'Comedy', u'Drama']"
Four-Feathers,"[u'Adventure', u'Drama', u'Romance', u'War']"
Four-Rooms,[u'Comedy']
Foxcatcher,"[u'Biography', u'Drama', u'Sport']"
Fracture,"[u'Crime', u'Drama', u'Mystery', u'Thriller']"
Frances,"[u'Biography', u'Drama', u'Romance']"
Frankenstein,"[u'Drama', u'Horror', u'Sci-Fi', u'Thriller']"
Freaked,"[u'Comedy', u'Sci-Fi']"
Freddy-vs.-Jason,"[u'Action', u'Horror', u'Thriller']"
"French-Connection,-The","[u'Action', u'Crime', u'Drama', u'Thriller']"
Friday-the-13,[u'Horror']
Friday-the-13th-Part-VIII-Jason-Takes-Manhattan,"[u'Adventure', u'Horror', u'Thriller']"
Fright-Nig,"[u'Comedy', u'Horror']"
Fright-Night-(1985),[u'Comedy']
From-Dusk-Till-Dawn,"[u'Action', u'Crime', u'Horror']"
From-Here-to-Eternity,"[u'Drama', u'Romance', u'War']"
Frozen-(Disney),[u'Music']
Frozen-River,"[u'Crime', u'Drama']"
Frozen,"[u'Animation', u'Adventure', u'Comedy', u'Family', u'Fantasy', u'Musical']"
Fruitvale-Station,"[u'Biography', u'Drama', u'Romance']"
"Fugitive,-The","[u'Action', u'Crime', u'Drama', u'Mystery', u'Thriller']"
Funny-People,"[u'Comedy', u'Drama']"
G.I.-Jane,"[u'Action', u'Drama', u'War']"
G.I.-Joe-The-Rise-of-Cobra,"[u'Action', u'Adventure', u'Sci-Fi', u'Thriller']"
"Game,-The","[u'Adventure', u'Drama', u'Fantasy', u'Romance']"
Game-6,"[u'Adventure', u'Drama', u'Fantasy', u'Romance']"
Gamer,"[u'Action', u'Sci-Fi', u'Thriller']"
Gandhi,"[u'Biography', u'Drama', u'History']"
Gang-Related,"[u'Action', u'Crime', u'Drama', u'Thriller']"
Gangs-of-New-York,"[u'Crime', u'Drama']"
Garden-State,"[u'Comedy', u'Drama', u'Romance']"
Gattaca,"[u'Drama', u'Sci-Fi', u'Thriller']"
Get-Carter,"[u'Crime', u'Thriller']"
Get-Low,"[u'Drama', u'Mystery']"
Get-Shorty,"[u'Comedy', u'Crime', u'Thriller']"
"Getaway,-The","[u'Action', u'Crime', u'Thriller']"
Ghos,"[u'Action', u'Comedy', u'Fantasy', u'Sci-Fi']"
"Ghost-and-the-Darkness,-The","[u'Adventure', u'Drama', u'Horror', u'Thriller']"
Ghost-Rider,"[u'Action', u'Fantasy', u'Thriller']"
Ghost-Ship,[u'Horror']
Ghost-World,"[u'Comedy', u'Drama']"
Ghostbusters-2,"[u'Action', u'Comedy', u'Fantasy', u'Sci-Fi']"
Ghostbusters,"[u'Action', u'Comedy', u'Fantasy', u'Sci-Fi']"
Ginger-Snaps,"[u'Drama', u'Fantasy', u'Horror']"
"Girl-with-the-Dragon-Tattoo,-The","[u'Crime', u'Drama', u'Mystery', u'Thriller']"
Gladiator,"[u'Action', u'Adventure', u'Drama']"
Glengarry-Glen-Gross,"[u'Crime', u'Drama', u'Mystery']"
Go,"[u'Comedy', u'Crime']"
Godfather-Part-II,"[u'Crime', u'Drama']"
"Godfather-Part-III,-The","[u'Crime', u'Drama']"
Godfather,"[u'Crime', u'Drama']"
Gods-and-Monsters,"[u'Biography', u'Drama']"
Godzilla,"[u'Action', u'Adventure', u'Drama', u'Horror', u'Sci-Fi']"
Gone-in-60-Seconds,"[u'Action', u'Crime', u'Drama']"
"Good-Girl,-The","[u'Drama', u'Romance']"
Good-Will-Hunting,[u'Drama']
Gothika,"[u'Horror', u'Mystery', u'Thriller']"
"Graduate,-The","[u'Comedy', u'Drama']"
Gran-Torino,[u'Drama']
Grand-Hote,"[u'Drama', u'Romance']"
Grand-Theft-Parsons,"[u'Adventure', u'Comedy', u'Drama']"
"Grapes-of-Wrath,-The","[u'Drama', u'History']"
Gravity,"[u'Adventure', u'Drama', u'Sci-Fi', u'Thriller']"
"Green-Mile,-The","[u'Crime', u'Drama', u'Fantasy', u'Mystery']"
Gremlins-2,"[u'Comedy', u'Fantasy', u'Horror']"
Gremlins,"[u'Comedy', u'Fantasy', u'Horror']"
"Grifters,-The","[u'Crime', u'Drama', u'Thriller']"
